No,Namespace,Variable,Description,Render Section,Category,Value
463,KS4_25,PTEBACMAT_95,% of pupils achieving the EBacc Maths subject area with a strong 9-5 pass,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,99.5%
464,KS4_25,PTEBAC2SCI_94,% of entered pupils achieving the EBacc Science subject area with a 9-4 pass,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
465,KS4_25,PTEBAC2SCI_95,% of entered pupils achieving the EBacc Science subject area with a 9-5 pass,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,98.9%
466,KS4_25,PTEBACHUM_94,% of entered pupils achieving the EBacc Humanities subject area with a 9-4 pass,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
467,KS4_25,PTEBACHUM_95,% of entered pupils achieving the EBacc Humanities subject area with a 9-5 pass,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,98.4%
468,KS4_25,PTEBACLAN_94,% of entered pupils achieving the EBacc Language subject area with a 9-4 pass,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
469,KS4_25,PTEBACLAN_95,% of entered pupils achieving the EBacc Language subject area with a 9-5 pass,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,99.5%
470,KS4_25,TEBACENG_94,Number of pupils achieving EBacc English subject area with a standard 9-4 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,189
471,KS4_25,TEBACENG_95,Number of pupils achieving EBacc English subject area with a strong 9-5 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,188
472,KS4_25,TEBACMAT_94,Number of pupils achieving EBacc Maths subject area with a standard 9-4 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,190
473,KS4_25,TEBACMAT_95,Number of pupils achieving EBacc Maths subject area with a strong 9-5 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,190
474,KS4_25,TEBAC2SCI_94,Number of pupils achieving EBacc Science subject area with a 9-4 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,189
475,KS4_25,TEBAC2SCI_95,Number of pupils achieving EBacc Science subject area with a 9-5 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,187
476,KS4_25,TEBACHUM_94,Number of pupils achieving EBacc Humanities subject area with a 9-4 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,182
477,KS4_25,TEBACHUM_95,Number of pupils achieving EBacc Humanities subject area with a 9-5 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,179
478,KS4_25,TEBACLAN_94,Number of pupils achieving EBacc Language subject area with a 9-4 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,186
479,KS4_25,TEBACLAN_95,Number of pupils achieving EBacc Language subject area with a 9-5 pass,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,185
480,KS4_25,TEBACC91,Number of pupils achieving the English Baccalaureate at grades 9-1,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,179
481,KS4_25,PTEBACC91,% of pupils achieving the English Baccalaureate at grades 9-1,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,93.7%
482,KS4_25,TEBACENG91,Number of pupils achieving EBacc English subject area at grade 9-1,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,189
483,KS4_25,PTEBACENG91,% of pupils achieving the EBacc English subject area at grade 9-1,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,99.0%
484,KS4_25,TEBACMAT91,Number of pupils achieving EBacc Maths subject area at grade 9-1,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,190
485,KS4_25,PTEBACMAT91,% of pupils achieving the EBacc Maths subject area at grade 9-1,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,99.5%
486,KS4_25,TEBAC2SCI91,Number of pupils achieving EBacc Science subject area with grades 9-1,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,189
487,KS4_25,PTEBAC2SCI91,% entered pupils achieving the EBacc Science subject area with grades 9-1,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
488,KS4_25,TEBACHUM91,Number of pupils achieving EBacc Humanities subject area with grades 9-1,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,182
489,KS4_25,PTEBACHUM91,% entered pupils achieving the EBacc Humanities subject area with grades 9-1,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
490,KS4_25,TEBACLAN91,Number of pupils achieving EBacc Language subject area with grades 9-1,A5-KS4,KS4 + KS5  Ages 11 to 18 Mixed sex,186
491,KS4_25,PTEBACLAN91,% of entered pupils achieving the EBacc Language subject area with grades 9-1,A5-KS4-T4-EBacc,KS4 + KS5  Ages 11 to 18 Mixed sex,100.0%
492,KS4_25,ATT8SCR_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,72.2
493,KS4_25,ATT8SCR_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,80.7
494,KS4_25,ATT8SCRENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for English element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,14.1
495,KS4_25,ATT8SCRMAT_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for mathematics element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,14.9
496,KS4_25,ATT8SCREBAC_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for EBacc element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,22.2
497,KS4_25,ATT8SCROPEN_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,21
498,KS4_25,ATT8SCRENG_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for English element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,15.7
499,KS4_25,ATT8SCRMAT_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for mathematics element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,16.5
500,KS4_25,ATT8SCREBAC_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for EBacc element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,24.8
501,KS4_25,ATT8SCROPEN_NFSM6CLA1A,Average Attainment 8 score per non-disadvantaged pupil for open element,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,23.6
502,KS4_25,ATT8SCROPENG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element - GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,21
503,KS4_25,ATT8SCROPENNG_FSM6CLA1A,Average Attainment 8 score per disadvantaged pupil for open element - non-GCSE only,A5-KS4-T1-Attainment8,KS4 + KS5  Ages 11 to 18 Mixed sex,0
