COUNTA of No,,Category,,,,,,,,,
Namespace,Variable,Category,KS1 + KS2 Ages 3 to 11 Mixed sex,KS1 only Ages 3 to 7 Mixed sex,KS2 Ages 7 to 11 Mixed sex,KS4 + KS5  Ages 11 to 18 Mixed sex,KS4 Ages 11 to 16 Mixed sex,Private Ages 10 to 19 Mixed sex ,Private Ages 2 to 11 Mixed sex,Private Ages 4 to 18 Mixed sex,Grand Total
,PT5EM_94_PREV2,,,,,1,1,1,,1,4
,PTANYQ_PTQ_EE,,,,,1,1,1,,1,4
,PTEALGRP1,,,,,1,1,1,,1,4
,PTEALGRP2,,,,,1,1,1,,1,4
,PTEALGRP3,,,,,1,1,1,,1,4
,PTEBAC2SCI_94,,,,,1,1,1,,1,4
,PTEBAC2SCI_95,,,,,1,1,1,,1,4
,PTEBAC2SCI_E_PTQ_EE,,,,,1,1,1,,1,4
,PTEBAC2SCI91,,,,,1,1,1,,1,4
,PTEBACC_94,,,,,1,1,1,,1,4
,PTEBACC_94_FSM6CLA1A,,,,,1,1,1,,1,4
,PTEBACC_94_FSM6CLA1A_PREV,,,,,1,1,1,,1,4
,PTEBACC_94_FSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,PTEBACC_94_NFSM6CLA1A,,,,,1,1,1,,1,4
,PTEBACC_94_NFSM6CLA1A_PREV,,,,,1,1,1,,1,4
,PTEBACC_94_NFSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,PTEBACC_94_PREV,,,,,1,1,1,,1,4
,PTEBACC_94_PREV2,,,,,1,1,1,,1,4
,PTEBACC_95,,,,,1,1,1,,1,4
,PTEBACC_95_FSM6CLA1A,,,,,1,1,1,,1,4
,PTEBACC_95_FSM6CLA1A_PREV,,,,,1,1,1,,1,4
,PTEBACC_95_FSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,PTEBACC_95_NFSM6CLA1A,,,,,1,1,1,,1,4
,PTEBACC_95_NFSM6CLA1A_PREV,,,,,1,1,1,,1,4
,PTEBACC_95_NFSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,PTEBACC_95_PREV,,,,,1,1,1,,1,4
,PTEBACC_95_PREV2,,,,,1,1,1,,1,4
,PTEBACC_E_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACC_E_PTQ_EE_PREV,,,,,1,1,1,,1,4
,PTEBACC_E_PTQ_EE_PREV2,,,,,1,1,1,,1,4
,PTEBACC_EEAL_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACC_EFSM6CLA1A_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACC_EFSM6CLA1A_PTQ_EE_PREV,,,,,1,1,1,,1,4
,PTEBACC_EFSM6CLA1A_PTQ_EE_PREV2,,,,,1,1,1,,1,4
,PTEBACC_ENFSM6CLA1A_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACC_ENFSM6CLA1A_PTQ_EE_PREV,,,,,1,1,1,,1,4
,PTEBACC_ENFSM6CLA1A_PTQ_EE_PREV2,,,,,1,1,1,,1,4
,PTEBACC_ENMOB_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACC91,,,,,1,1,1,,1,4
,PTEBACCEAL_94,,,,,1,1,1,,1,4
,PTEBACCEAL_95,,,,,1,1,1,,1,4
,PTEBACCNMOB_94,,,,,1,1,1,,1,4
,PTEBACCNMOB_95,,,,,1,1,1,,1,4
,PTEBACENG_94,,,,,1,1,1,,1,4
,PTEBACENG_95,,,,,1,1,1,,1,4
,PTEBACENG_E_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACENG91,,,,,1,1,1,,1,4
,PTEBACHUM_94,,,,,1,1,1,,1,4
,PTEBACHUM_95,,,,,1,1,1,,1,4
,PTEBACHUM_E_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACHUM91,,,,,1,1,1,,1,4
,PTEBACLAN_94,,,,,1,1,1,,1,4
,PTEBACLAN_95,,,,,1,1,1,,1,4
,PTEBACLAN_E_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACLAN91,,,,,1,1,1,,1,4
,PTEBACMAT_94,,,,,1,1,1,,1,4
,PTEBACMAT_95,,,,,1,1,1,,1,4
,PTEBACMAT_E_PTQ_EE,,,,,1,1,1,,1,4
,PTEBACMAT91,,,,,1,1,1,,1,4
,PTFSM6CLA1A,,,,,1,1,1,,1,4
,PTFSM6CLA1A_PREV,,,,,1,1,1,,1,4
,PTFSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,PTFSM6CLA1ABASICS_94,,,,,1,1,1,,1,4
,PTFSM6CLA1ABASICS_94_PREV,,,,,1,1,1,,1,4
,PTFSM6CLA1ABASICS_94_PREV2,,,,,1,1,1,,1,4
,PTFSM6CLA1ABASICS_95,,,,,1,1,1,,1,4
,PTFSM6CLA1ABASICS_95_PREV,,,,,1,1,1,,1,4
,PTFSM6CLA1ABASICS_95_PREV2,,,,,1,1,1,,1,4
,PTL2BASICS_94,,,,,1,1,1,,1,4
,PTL2BASICS_94_PREV,,,,,1,1,1,,1,4
,PTL2BASICS_94_PREV2,,,,,1,1,1,,1,4
,PTL2BASICS_95,,,,,1,1,1,,1,4
,PTL2BASICS_95_PREV,,,,,1,1,1,,1,4
,PTL2BASICS_95_PREV2,,,,,1,1,1,,1,4
,PTL2BASICSEAL_94,,,,,1,1,1,,1,4
,PTL2BASICSEAL_95,,,,,1,1,1,,1,4
,PTL2BASICSNMOB_94,,,,,1,1,1,,1,4
,PTL2BASICSNMOB_95,,,,,1,1,1,,1,4
,PTMULTILAN_E,,,,,1,1,1,,1,4
,PTNMOB,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1A,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1A_PREV,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1ABASICS_94,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1ABASICS_94_PREV,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1ABASICS_94_PREV2,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1ABASICS_95,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1ABASICS_95_PREV,,,,,1,1,1,,1,4
,PTNOTFSM6CLA1ABASICS_95_PREV2,,,,,1,1,1,,1,4
,PTOTENT_E_COVID_IMPACTED_PTQ_EE,,,,,1,1,1,,1,4
,PTTRIPLESCI_E,,,,,1,1,1,,1,4
,RECTYPE,,,,,1,1,1,,1,4
,RELDENOM,,,,,1,1,1,,1,4
,SCHNAME,,,,,1,1,1,,1,4
,SCHNAME_AC,,,,,1,1,1,,1,4
,SEN_ALL4,,,,,1,1,,,,2
,SENE4,,,,,1,1,,,,2
,SENK4,,,,,1,1,,,,2
,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE,,,,,1,1,1,,1,4
,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE_PREV,,,,,1,1,1,,1,4
,TAVENT_E_3NG_FSM6CLA1A_PTQ_EE_PREV2,,,,,1,1,1,,1,4
,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE,,,,,1,1,1,,1,4
,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE_PREV,,,,,1,1,1,,1,4
,TAVENT_E_3NG_NFSM6CLA1A_PTQ_EE_PREV2,,,,,1,1,1,,1,4
,TAVENT_E_3NG_PTQ_EE,,,,,1,1,1,,1,4
,TAVENT_G_PTQ_EE,,,,,1,1,1,,1,4
,TAVENT_GFSM6CLA1A_PTQ_EE,,,,,1,1,1,,1,4
,TAVENT_GFSM6CLA1A_PTQ_EE_PREV,,,,,1,1,1,,1,4
,TAVENT_GFSM6CLA1A_PTQ_EE_PREV2,,,,,1,1,1,,1,4
,TAVENT_GNFSM6CLA1A_PTQ_EE,,,,,1,1,1,,1,4
,TAVENT_GNFSM6CLA1A_PTQ_EE_PREV,,,,,1,1,1,,1,4
,TAVENT_GNFSM6CLA1A_PTQ_EE_PREV2,,,,,1,1,1,,1,4
,TEALGRP1,,,,,1,1,1,,1,4
,TEALGRP2,,,,,1,1,1,,1,4
,TEALGRP3,,,,,1,1,1,,1,4
,TEBAC2SCI_94,,,,,1,1,1,,1,4
,TEBAC2SCI_95,,,,,1,1,1,,1,4
,TEBAC2SCI_E_PTQ_EE,,,,,1,1,1,,1,4
,TEBAC2SCI91,,,,,1,1,1,,1,4
,TEBACC_E_PTQ_EE,,,,,1,1,1,,1,4
,TEBACC91,,,,,1,1,1,,1,4
,TEBACENG_94,,,,,1,1,1,,1,4
,TEBACENG_95,,,,,1,1,1,,1,4
,TEBACENG_E_PTQ_EE,,,,,1,1,1,,1,4
,TEBACENG91,,,,,1,1,1,,1,4
,TEBACHUM_94,,,,,1,1,1,,1,4
,TEBACHUM_95,,,,,1,1,1,,1,4
,TEBACHUM_E_PTQ_EE,,,,,1,1,1,,1,4
,TEBACHUM91,,,,,1,1,1,,1,4
,TEBACLAN_94,,,,,1,1,1,,1,4
,TEBACLAN_95,,,,,1,1,1,,1,4
,TEBACLAN_E_PTQ_EE,,,,,1,1,1,,1,4
,TEBACLAN91,,,,,1,1,1,,1,4
,TEBACMAT_94,,,,,1,1,1,,1,4
,TEBACMAT_95,,,,,1,1,1,,1,4
,TEBACMAT_E_PTQ_EE,,,,,1,1,1,,1,4
,TEBACMAT91,,,,,1,1,1,,1,4
,TELNUM,,,,,1,1,1,,1,4
,TFSM6CLA1A,,,,,1,1,1,,1,4
,TFSM6CLA1A_PREV,,,,,1,1,1,,1,4
,TFSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,TNMOB,,,,,1,1,1,,1,4
,TNOTFSM6CLA1A,,,,,1,1,1,,1,4
,TNOTFSM6CLA1A_PREV,,,,,1,1,1,,1,4
,TNOTFSM6CLA1A_PREV2,,,,,1,1,1,,1,4
,TOTATT8,,,,,1,1,1,,1,4
,TOTATT8EBAC,,,,,1,1,1,,1,4
,TOTATT8ENG,,,,,1,1,1,,1,4
,TOTATT8MAT,,,,,1,1,1,,1,4
,TOTATT8OPEN,,,,,1,1,1,,1,4
,TOTATT8OPENG,,,,,1,1,1,,1,4
,TOTATT8OPENNG,,,,,1,1,1,,1,4
,TOTEBACCAPS,,,,,1,1,1,,1,4
,TOTPUPS,,,,,1,1,1,,1,4
,TOWN,,,,,1,1,1,,1,4
,TPUP,,,,,1,1,1,,1,4
,TPUP_PREV,,,,,1,1,1,,1,4
,TPUP_PREV2,,,,,1,1,1,,1,4
,TTOTENT_E_COVID_IMPACTED_PTQ_EE,,,,,1,1,1,,1,4
,TTOTENT_E_TOTAL_PTQ_EE,,,,,1,1,1,,1,4
,URN,,,,,1,1,1,,1,4
,YEAR,,,,,1,1,1,,1,4
KS4_25 Total,,,,,,282,282,275,,275,1114
KS4_PUPDEST_25,APPREN,,,,,1,1,,,,2
,APPREN_DIS,,,,,1,1,,,,2
,APPREN_NONDIS,,,,,1,1,,,,2
,APPRENPER,,,,,1,1,,,,2
,APPRENPER_DIS,,,,,1,1,,,,2
,APPRENPER_NONDIS,,,,,1,1,,,,2
,COHORT,,,,,1,1,,,,2
,COHORT_21,,,,,1,1,,,,2
,COHORT_22,,,,,1,1,,,,2
,COHORT_DIS,,,,,1,1,,,,2
,COHORT_DIS_21,,,,,1,1,,,,2
,COHORT_DIS_22,,,,,1,1,,,,2
,COHORT_NONDIS,,,,,1,1,,,,2
,COHORT_NONDIS_21,,,,,1,1,,,,2
,COHORT_NONDIS_22,,,,,1,1,,,,2
,EDITION,,,,,1,1,,,,2
,EDUCATION,,,,,1,1,,,,2
,EDUCATION_DIS,,,,,1,1,,,,2
,EDUCATION_NONDIS,,,,,1,1,,,,2
,EDUCATIONPER,,,,,1,1,,,,2
,EDUCATIONPER_DIS,,,,,1,1,,,,2
,EDUCATIONPER_NONDIS,,,,,1,1,,,,2
,EMPLOYMENT,,,,,1,1,,,,2
,EMPLOYMENT_DIS,,,,,1,1,,,,2
,EMPLOYMENT_NONDIS,,,,,1,1,,,,2
,EMPLOYMENTPER,,,,,1,1,,,,2
,EMPLOYMENTPER_DIS,,,,,1,1,,,,2
,EMPLOYMENTPER_NONDIS,,,,,1,1,,,,2
,ESTAB,,,,,1,1,,,,2
,FE,,,,,1,1,,,,2
,FE_DIS,,,,,1,1,,,,2
,FE_NONDIS,,,,,1,1,,,,2
,FEPER,,,,,1,1,,,,2
,FEPER_DIS,,,,,1,1,,,,2
,FEPER_NONDIS,,,,,1,1,,,,2
,ICLOSE,,,,,1,1,,,,2
,LEA,,,,,1,1,,,,2
,NFTYPE,,,,,1,1,,,,2
,NOT_SUSTAINED,,,,,1,1,,,,2
,NOT_SUSTAINED_DIS,,,,,1,1,,,,2
,NOT_SUSTAINED_NONDIS,,,,,1,1,,,,2
,NOT_SUSTAINEDPER,,,,,1,1,,,,2
,NOT_SUSTAINEDPER_DIS,,,,,1,1,,,,2
,NOT_SUSTAINEDPER_NONDIS,,,,,1,1,,,,2
,OTHER_EDU,,,,,1,1,,,,2
,OTHER_EDU_DIS,,,,,1,1,,,,2
,OTHER_EDU_NONDIS,,,,,1,1,,,,2
,OTHER_EDUPER,,,,,1,1,,,,2
,OTHER_EDUPER_DIS,,,,,1,1,,,,2
,OTHER_EDUPER_NONDIS,,,,,1,1,,,,2
,OVERALL_DEST,,,,,1,1,,,,2
,OVERALL_DEST_DIS,,,,,1,1,,,,2
,OVERALL_DEST_NONDIS,,,,,1,1,,,,2
,OVERALL_DESTPER,,,,,1,1,,,,2
,OVERALL_DESTPER_21,,,,,1,1,,,,2
,OVERALL_DESTPER_22,,,,,1,1,,,,2
,OVERALL_DESTPER_DIS,,,,,1,1,,,,2
,OVERALL_DESTPER_DIS_21,,,,,1,1,,,,2
,OVERALL_DESTPER_DIS_22,,,,,1,1,,,,2
,OVERALL_DESTPER_NONDIS,,,,,1,1,,,,2
,OVERALL_DESTPER_NONDIS_21,,,,,1,1,,,,2
,OVERALL_DESTPER_NONDIS_22,,,,,1,1,,,,2
,RECTYPE,,,,,1,1,,,,2
,SCH_6TH,,,,,1,1,,,,2
,SCH_6TH_DIS,,,,,1,1,,,,2
,SCH_6TH_NONDIS,,,,,1,1,,,,2
,SCH_6THPER,,,,,1,1,,,,2
,SCH_6THPER_DIS,,,,,1,1,,,,2
,SCH_6THPER_NONDIS,,,,,1,1,,,,2
,SCHNAME,,,,,1,1,,,,2
,SIXTH_COL,,,,,1,1,,,,2
,SIXTH_COL_DIS,,,,,1,1,,,,2
,SIXTH_COL_NONDIS,,,,,1,1,,,,2
,SIXTH_COLPER,,,,,1,1,,,,2
,SIXTH_COLPER_DIS,,,,,1,1,,,,2
,SIXTH_COLPER_NONDIS,,,,,1,1,,,,2
,UNKNOWN,,,,,1,1,,,,2
,UNKNOWN_DIS,,,,,1,1,,,,2
,UNKNOWN_NONDIS,,,,,1,1,,,,2
,UNKNOWNPER,,,,,1,1,,,,2
,UNKNOWNPER_DIS,,,,,1,1,,,,2
,UNKNOWNPER_NONDIS,,,,,1,1,,,,2
,URN,,,,,1,1,,,,2
KS4_PUPDEST_25 Total,,,,,,83,83,,,,166
KS5_25,ADDRESS1,,,,,1,,1,,1,3
,ADDRESS2,,,,,1,,1,,1,3
,ADDRESS3,,,,,1,,1,,1,3
,ADMPOL,,,,,1,,1,,1,3
,ADMPOL_PT,,,,,1,,,,,1
,AGEN_PER,,,,,1,,1,,1,3
,AGERANGE,,,,,1,,1,,1,3
,ALPHAIND,,,,,1,,1,,1,3
,CONFEXAM,,,,,1,,1,,1,3
,CONTFLAG,,,,,1,,1,,1,3
,DUMMY,,,,,1,,1,,1,3
,EDITION,,,,,1,,1,,1,3
,ENTRIES_ACAD,,,,,1,,1,,1,3
,ENTRIES_ACAD_22,,,,,1,,1,,1,3
,ENTRIES_ACAD_23,,,,,1,,1,,1,3
,ENTRIES_ACAD_24,,,,,1,,1,,1,3
,ENTRIES_ACAD_DIS,,,,,1,,,,,1
,ENTRIES_ACAD_DIS_22,,,,,1,,1,,1,3
,ENTRIES_ACAD_DIS_23,,,,,1,,1,,1,3
,ENTRIES_ACAD_DIS_24,,,,,1,,,,,1
,ENTRIES_ACAD_NOTDIS,,,,,1,,,,,1
,ENTRIES_ACAD_NOTDIS_22,,,,,1,,1,,1,3
,ENTRIES_ACAD_NOTDIS_23,,,,,1,,1,,1,3
,ENTRIES_ACAD_NOTDIS_24,,,,,1,,,,,1
,ENTRIES_AGEN,,,,,1,,1,,1,3
,ENTRIES_AGEN_22,,,,,1,,1,,1,3
,ENTRIES_AGEN_23,,,,,1,,1,,1,3
,ENTRIES_AGEN_24,,,,,1,,1,,1,3
,ENTRIES_AGEN_DIS,,,,,1,,,,,1
,ENTRIES_AGEN_DIS_22,,,,,1,,1,,1,3
,ENTRIES_AGEN_DIS_23,,,,,1,,1,,1,3
,ENTRIES_AGEN_DIS_24,,,,,1,,,,,1
,ENTRIES_AGEN_NOTDIS,,,,,1,,,,,1
,ENTRIES_AGEN_NOTDIS_22,,,,,1,,1,,1,3
,ENTRIES_AGEN_NOTDIS_23,,,,,1,,1,,1,3
,ENTRIES_AGEN_NOTDIS_24,,,,,1,,,,,1
,ENTRIES_ALEV,,,,,1,,1,,1,3
,ENTRIES_ALEV_22,,,,,1,,1,,1,3
,ENTRIES_ALEV_23,,,,,1,,1,,1,3
,ENTRIES_ALEV_24,,,,,1,,1,,1,3
,ENTRIES_ALEV_DIS,,,,,1,,,,,1
,ENTRIES_ALEV_DIS_22,,,,,1,,1,,1,3
,ENTRIES_ALEV_DIS_23,,,,,1,,1,,1,3
,ENTRIES_ALEV_DIS_24,,,,,1,,,,,1
,ENTRIES_ALEV_NOTDIS,,,,,1,,,,,1
,ENTRIES_ALEV_NOTDIS_22,,,,,1,,1,,1,3
,ENTRIES_ALEV_NOTDIS_23,,,,,1,,1,,1,3
,ENTRIES_ALEV_NOTDIS_24,,,,,1,,,,,1
,ENTRIES_TECHCERT,,,,,1,,1,,1,3
,ENTRIES_TECHCERT_DIS,,,,,1,,,,,1
,ENTRIES_TECHCERT_NOTDIS,,,,,1,,,,,1
,ENTRIES_TLEV,,,,,1,,1,,1,3
,ENTRIES_TLEV_DIS,,,,,1,,,,,1
,ENTRIES_TLEV_NOTDIS,,,,,1,,,,,1
,ENTRY_PER_E,,,,,1,,1,,1,3
,ENTRY_PER_M,,,,,1,,1,,1,3
,ESTAB,,,,,1,,1,,1,3
,FEEDER,,,,,1,,1,,1,3
,GEND1618,,,,,1,,1,,1,3
,ICLOSE,,,,,1,,1,,1,3
,L3M_PER,,,,,1,,1,,1,3
,LASORT,,,,,1,,1,,1,3
,LCI_INS_ACAD,,,,,1,,1,,1,3
,LCI_INS_ACAD_22,,,,,1,,1,,1,3
,LCI_INS_ACAD_23,,,,,1,,1,,1,3
,LCI_INS_ACAD_24,,,,,1,,1,,1,3
,LCI_INS_ACAD_DIS,,,,,1,,,,,1
,LCI_INS_ACAD_DIS_22,,,,,1,,1,,1,3
,LCI_INS_ACAD_DIS_23,,,,,1,,1,,1,3
,LCI_INS_ACAD_DIS_24,,,,,1,,,,,1
,LCI_INS_ACAD_NOTDIS,,,,,1,,,,,1
,LCI_INS_ACAD_NOTDIS_22,,,,,1,,1,,1,3
,LCI_INS_ACAD_NOTDIS_23,,,,,1,,1,,1,3
,LCI_INS_ACAD_NOTDIS_24,,,,,1,,,,,1
,LCI_INS_AGEN,,,,,1,,1,,1,3
,LCI_INS_AGEN_22,,,,,1,,1,,1,3
,LCI_INS_AGEN_23,,,,,1,,1,,1,3
,LCI_INS_AGEN_24,,,,,1,,1,,1,3
,LCI_INS_AGEN_DIS,,,,,1,,,,,1
,LCI_INS_AGEN_DIS_22,,,,,1,,1,,1,3
,LCI_INS_AGEN_DIS_23,,,,,1,,1,,1,3
,LCI_INS_AGEN_DIS_24,,,,,1,,,,,1
,LCI_INS_AGEN_NOTDIS,,,,,1,,,,,1
,LCI_INS_AGEN_NOTDIS_22,,,,,1,,1,,1,3
,LCI_INS_AGEN_NOTDIS_23,,,,,1,,1,,1,3
,LCI_INS_AGEN_NOTDIS_24,,,,,1,,,,,1
,LCI_INS_ALEV,,,,,1,,1,,1,3
,LCI_INS_ALEV_22,,,,,1,,1,,1,3
,LCI_INS_ALEV_23,,,,,1,,1,,1,3
,LCI_INS_ALEV_24,,,,,1,,1,,1,3
,LCI_INS_ALEV_DIS,,,,,1,,,,,1
,LCI_INS_ALEV_DIS_22,,,,,1,,1,,1,3
,LCI_INS_ALEV_DIS_23,,,,,1,,1,,1,3
,LCI_INS_ALEV_DIS_24,,,,,1,,,,,1
,LCI_INS_ALEV_NOTDIS,,,,,1,,,,,1
,LCI_INS_ALEV_NOTDIS_22,,,,,1,,1,,1,3
,LCI_INS_ALEV_NOTDIS_23,,,,,1,,1,,1,3
,LCI_INS_ALEV_NOTDIS_24,,,,,1,,,,,1
,LCI_INS_TECHCERT,,,,,1,,1,,1,3
,LCI_INS_TECHCERT_DIS,,,,,1,,,,,1
,LCI_INS_TECHCERT_NOTDIS,,,,,1,,,,,1
,LCI_INS_TLEV,,,,,1,,1,,1,3
,LCI_INS_TLEV_DIS,,,,,1,,,,,1
,LCI_INS_TLEV_NOTDIS,,,,,1,,,,,1
,LEA,,,,,1,,1,,1,3
,NFTYPE/FESITYPE,,,,,1,,1,,1,3
,PCODE,,,,,1,,1,,1,3
,PCON_CODE,,,,,1,,1,,1,3
,PCON_NAME,,,,,1,,1,,1,3
,PROGEX_E,,,,,1,,1,,1,3
,PROGEX_E_22,,,,,1,,1,,1,3
,PROGEX_E_23,,,,,1,,1,,1,3
,PROGEX_E_24,,,,,1,,1,,1,3
,PROGEX_E_DIS,,,,,1,,,,,1
,PROGEX_E_DIS_22,,,,,1,,1,,1,3
,PROGEX_E_DIS_23,,,,,1,,1,,1,3
,PROGEX_E_DIS_24,,,,,1,,1,,1,3
,PROGEX_E_NOTDIS,,,,,1,,,,,1
,PROGEX_E_NOTDIS_22,,,,,1,,1,,1,3
,PROGEX_E_NOTDIS_23,,,,,1,,1,,1,3
,PROGEX_E_NOTDIS_24,,,,,1,,1,,1,3
,PROGEX_M,,,,,1,,1,,1,3
,PROGEX_M_22,,,,,1,,1,,1,3
,PROGEX_M_23,,,,,1,,1,,1,3
,PROGEX_M_24,,,,,1,,1,,1,3
,PROGEX_M_DIS,,,,,1,,,,,1
,PROGEX_M_DIS_22,,,,,1,,1,,1,3
,PROGEX_M_DIS_23,,,,,1,,1,,1,3
,PROGEX_M_DIS_24,,,,,1,,1,,1,3
,PROGEX_M_NOTDIS,,,,,1,,,,,1
,PROGEX_M_NOTDIS_22,,,,,1,,1,,1,3
,PROGEX_M_NOTDIS_23,,,,,1,,1,,1,3
,PROGEX_M_NOTDIS_24,,,,,1,,1,,1,3
,PROGRESS_BAND_ACAD,,,,,1,,1,,1,3
,PROGRESS_BAND_ACAD_24,,,,,1,,1,,1,3
,PROGRESS_BAND_AGEN_24,,,,,1,,1,,1,3
,PROGRESS_BAND_ALEV,,,,,1,,1,,1,3
,PROGRESS_BAND_ALEV_24,,,,,1,,1,,1,3
,PT_RET_ASSESSED_ACAD,,,,,1,,,,,1
,PT_RET_ASSESSED_AGEN,,,,,1,,,,,1
,PT_RET_ASSESSED_ALEV,,,,,1,,,,,1
,PT_RET_ASSESSED_TECHCERT,,,,,1,,,,,1
,PT_RET_ASSESSED_TLEV,,,,,1,,,,,1
,PT_RETAINED_ACAD_2NDYR,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_22,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_23,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_24,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_DIS,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_DIS_22,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_DIS_23,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_DIS_24,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_NOTDIS,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_NOTDIS_22,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_NOTDIS_23,,,,,1,,,,,1
,PT_RETAINED_ACAD_RET_NOTDIS_24,,,,,1,,,,,1
,PT_RETAINED_AGEN_2NDYR,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_22,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_23,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_24,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_DIS,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_DIS_22,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_DIS_23,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_DIS_24,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_NOTDIS,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_NOTDIS_22,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_NOTDIS_23,,,,,1,,,,,1
,PT_RETAINED_AGEN_RET_NOTDIS_24,,,,,1,,,,,1
,PT_RETAINED_ALEV_2NDYR,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_22,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_23,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_24,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_DIS,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_DIS_22,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_DIS_23,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_DIS_24,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_NOTDIS,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_NOTDIS_22,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_NOTDIS_23,,,,,1,,,,,1
,PT_RETAINED_ALEV_RET_NOTDIS_24,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_22,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_23,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_24,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_DIS,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_DIS_22,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_DIS_23,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_DIS_24,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_NOTDIS,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_NOTDIS_22,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_NOTDIS_23,,,,,1,,,,,1
,PT_RETAINED_TECHCERT_RET_NOTDIS_24,,,,,1,,,,,1
,PT_RETAINED_TLEV_2NDYR,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_22,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_23,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_24,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_DIS,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_DIS_22,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_DIS_23,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_DIS_24,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_NOTDIS,,,,,1,,,,,1
,PT_RETAINED_TLEV_RET_NOTDIS_22,,,,,1,,,,,1
